market,fold,test_start,test_end,n_train,n_test,target_mean,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,1,2018-03-16,2019-03-06,1052,244,-4.952752531451865,0.44591392259636187,0.6706575482244903,0.2281458279438251,0.4891144184022823
US,2,2019-03-07,2020-02-24,1296,244,-5.096862972434843,0.1440196294600392,0.503094868945467,-0.0011999018161574782,0.4933266838948969
US,3,2020-02-25,2021-02-10,1540,244,-4.444358566141719,0.3973300622840559,0.7558131590292485,0.4508929276481273,0.7268478828868551
US,4,2021-02-11,2022-01-28,1784,244,-5.001229702164152,0.18430042932579216,0.5027077735097214,0.05461668997761171,0.3478751632968203
US,5,2022-01-31,2023-01-19,2028,244,-4.289224983383531,-0.5289751189660901,0.24264659087307805,-1.2160095558901993,0.08747468290947973
US,6,2023-01-20,2024-01-09,2272,244,-4.951390189649752,-0.017467147732135535,0.3830993370266729,-0.35689239838989284,0.4169418488583714
US,7,2024-01-10,2024-12-27,2516,244,-5.009225325750935,0.034252233121339515,0.4328284392835492,0.10019707327583904,0.3804066178262479
US,8,2024-12-30,2025-12-18,2760,244,-4.875340762626996,0.3436282686850005,0.615647603318849,0.4325723328468629,0.6581761355675889
UK,1,2018-03-20,2019-03-12,1010,234,-4.987817631132701,-0.5337717681890375,0.06673936908484704,-0.3598352681743071,0.09351971511549555
UK,2,2019-03-13,2020-03-03,1244,234,-5.050334765888364,0.010534389206530603,0.3426113223317849,0.034216772691843755,0.2566889153463252
UK,3,2020-03-04,2021-02-18,1478,234,-4.393962329947329,0.026398186205703444,0.5052946180750697,0.3117553670863943,0.5884136297377544
UK,4,2021-02-19,2022-02-03,1712,234,-5.050711039270975,-0.2866308917883209,0.02697382625382904,-0.1180264815421066,0.07422196463166927
UK,5,2022-02-04,2023-01-25,1946,234,-4.8977679347915455,0.1965987566551065,0.47491610799269124,0.17814766478366473,0.4248124421229747
UK,6,2023-01-26,2024-01-10,2180,234,-5.177487132217956,-0.14471908309907455,0.1960193977873438,-0.2579935978721961,0.19521128690535905
UK,7,2024-01-11,2024-12-24,2414,234,-5.258234969794545,-0.2953233700619453,0.17620249083783793,-0.34965055572635073,0.2639471359234006
UK,8,2024-12-30,2025-12-16,2648,234,-5.274090472025243,-0.05587469653197741,0.3256939392388117,-0.08867835415645975,0.20448360983826147
